      Step     Time          Energy          fmax
BFGS:    0 11:31:38    -1647.728027        2.046947
BFGS:    1 11:31:44    -1647.718384        3.890783
BFGS:    2 11:31:50    -1647.816284        1.206827
BFGS:    3 11:31:56    -1647.888428        1.332179
BFGS:    4 11:32:04    -1647.948730        1.666648
BFGS:    5 11:32:11    -1647.985107        0.665732
BFGS:    6 11:32:19    -1647.990356        0.246677
BFGS:    7 11:32:25    -1647.996338        0.321107
BFGS:    8 11:32:32    -1647.999268        0.413630
BFGS:    9 11:32:38    -1648.006470        0.536938
BFGS:   10 11:32:44    -1648.015991        0.482993
BFGS:   11 11:32:51    -1648.025146        0.247095
BFGS:   12 11:32:57    -1648.029541        0.172851
BFGS:   13 11:33:04    -1648.032349        0.234649
BFGS:   14 11:33:11    -1648.034058        0.189045
BFGS:   15 11:33:19    -1648.035767        0.081050
BFGS:   16 11:33:26    -1648.034546        0.064556
BFGS:   17 11:33:32    -1648.036743        0.107519
BFGS:   18 11:33:38    -1648.038452        0.130127
BFGS:   19 11:33:45    -1648.039185        0.089852
BFGS:   20 11:33:51    -1648.039307        0.045352
