temp,k,epsilon_repulsive,batch,Rg,Re,PE,valid
0.1,1.0,0.1,0,1.0872500876680071,2.7452817915700156,-36.109589784520615,True
0.1,1.0,0.1,1,1.0550926458844112,2.2727701096436035,-36.999583565527516,True
0.1,1.0,0.1,2,1.050976806927004,1.1617050505497875,-37.848284844324475,True
0.1,1.0,0.48,0,1.0335389817394656,1.9644486832481547,-39.00271832132923,True
0.1,1.0,0.48,1,1.0553234942089451,1.184700137105922,-38.29552590223455,True
0.1,1.0,0.48,2,1.0656284809636252,1.9223253787438412,-37.657083085955314,True
0.1,1.0,0.86,0,1.0596428419349444,1.1514468663775366,-37.10775477460068,True
0.1,1.0,0.86,1,1.0624658283537594,1.1810125148112138,-39.11042600079234,True
0.1,1.0,0.86,2,1.0782047327966864,1.125107130846527,-37.56418592726729,True
0.1,1.0,1.24,0,1.0647316675264336,1.1808373547563151,-39.515039065619575,True
0.1,1.0,1.24,1,1.049943775199485,1.1833664784244626,-38.206240929819,True
0.1,1.0,1.24,2,1.0666009480636598,2.769533002321729,-36.24926718352594,True
0.1,1.0,1.62,0,1.0382888011614284,1.1317273177034008,-38.11377213519494,True
0.1,1.0,1.62,1,1.0236690160504556,1.8672613978442874,-40.61155210654472,True
0.1,1.0,1.62,2,1.054512691879556,1.843929868845703,-41.579477051351695,True
0.1,1.0,2.0,0,1.0617196656138708,1.925152017293913,-37.668112587258086,True
0.1,1.0,2.0,1,1.0628538886605623,1.1734459340192758,-37.24380284187923,True
0.1,1.0,2.0,2,1.0283218735974906,1.8717761629348484,-38.27231556072103,True
0.1,20.8,0.1,0,1.2416835783161955,1.235239496004278,-22.260037463099774,True
0.1,20.8,0.1,1,1.2099152067089423,1.8083024762595485,-24.385527071524542,True
0.1,20.8,0.1,2,1.2402930047698884,1.1520896187485719,-22.09688095276717,True
0.1,20.8,0.48,0,1.243378975369438,3.1422784039556326,-22.8422097837152,True
0.1,20.8,0.48,1,1.2565848172546836,2.2173846395323804,-22.157747425141725,True
0.1,20.8,0.48,2,1.2154201179437876,1.893871906223801,-23.42429966714058,True
0.1,20.8,0.86,0,1.2630048123621205,2.347905135582391,-22.075732904663884,True
0.1,20.8,0.86,1,1.216475656277347,1.1479795765527159,-23.83693574698004,True
0.1,20.8,0.86,2,1.2677239572468952,2.1520830766114813,-23.023189840440594,True
0.1,20.8,1.24,0,1.226362476340641,2.2598922712037357,-23.545351548737735,True
0.1,20.8,1.24,1,1.2206536607153349,1.9344034154342957,-23.29730214216494,True
0.1,20.8,1.24,2,1.251850248969642,1.142880124762697,-21.96848250895055,True
0.1,20.8,1.62,0,1.2781834029205725,2.5567550782448243,-22.08826436567283,True
0.1,20.8,1.62,1,1.2555688135356953,1.9659529062501557,-22.324120825148906,True
0.1,20.8,1.62,2,1.2301885260261205,1.1494908221977422,-23.530968007298465,True
0.1,20.8,2.0,0,1.2302147504624004,2.120369822573408,-22.780885350300352,True
0.1,20.8,2.0,1,1.209709214139024,1.9006782551181243,-23.55441164909138,True
0.1,20.8,2.0,2,1.2189474670216796,1.1288282432613528,-23.901179958694893,True
0.1,40.6,0.1,0,1.2352577377301106,1.9369183040940883,-23.160667555164277,True
0.1,40.6,0.1,1,1.2512846186380102,1.7635337605344525,-22.532254261691822,True
0.1,40.6,0.1,2,1.250669096910605,1.935584981206826,-22.578394368392022,True
0.1,40.6,0.48,0,1.2906380609401273,2.6980858744813925,-22.049178429165973,True
0.1,40.6,0.48,1,1.2675068528725693,1.7393800106346788,-21.656214444075157,True
0.1,40.6,0.48,2,1.2334958593246999,1.7866330344900245,-23.55435064766453,True
0.1,40.6,0.86,0,1.2343270691714197,1.889678762039117,-22.905445116716542,True
0.1,40.6,0.86,1,1.227725863829248,1.8445811768461118,-22.92089753560171,True
0.1,40.6,0.86,2,1.2341942711986396,2.1468548807003525,-23.70395491204035,True
0.1,40.6,1.24,0,1.2443835153345442,2.841350499057487,-22.604203465503478,True
0.1,40.6,1.24,1,1.241909199128582,1.9357226562382832,-22.674158840498993,True
0.1,40.6,1.24,2,1.2624624825114554,2.108589369311556,-21.695938718005078,True
0.1,40.6,1.62,0,1.2731364375342868,2.1668533554130134,-22.918901254853196,True
0.1,40.6,1.62,1,1.2745805581705145,1.1551278437196033,-21.778273654328856,True
0.1,40.6,1.62,2,1.2623287728260346,1.1509798300572056,-23.20999140161478,True
0.1,40.6,2.0,0,1.240572025435464,2.1901777850730597,-22.532193002969578,True
0.1,40.6,2.0,1,1.2760736732574929,1.8549081233437799,-22.840073422944865,True
0.1,40.6,2.0,2,1.2656879460373696,2.0558330073387365,-21.98866205572637,True
0.1,60.4,0.1,0,1.234979445286747,2.6001599431773452,-23.353255522173754,True
0.1,60.4,0.1,1,1.2462777395812028,1.244966170111669,-21.712544134519018,True
0.1,60.4,0.1,2,1.2620428818810447,1.984676016618985,-22.034779837236194,True
0.1,60.4,0.48,0,1.2648721612823786,1.1853166507837845,-22.62286737397055,True
0.1,60.4,0.48,1,1.2348533139478368,1.7422340571574657,-23.547819433273602,True
0.1,60.4,0.48,2,1.267986492635582,1.374264785444927,-22.33335404214134,True
0.1,60.4,0.86,0,1.2810300951469256,2.2420245761425868,-21.728428190959008,True
0.1,60.4,0.86,1,1.2444859452663777,2.07837498513987,-22.53583279468671,True
0.1,60.4,0.86,2,1.268231199883265,2.1704857339918178,-22.365829380667066,True
0.1,60.4,1.24,0,1.265237052038334,2.2652809012887154,-22.119503444016896,True
0.1,60.4,1.24,1,1.254276785819492,2.3586035681922706,-22.26017942466584,True
0.1,60.4,1.24,2,1.2744539391725374,2.3968060164332545,-21.660745966661793,True
0.1,60.4,1.62,0,1.2888384276463734,1.8957215338947073,-21.491767422638603,True
0.1,60.4,1.62,1,1.2606705826105873,1.817001218384729,-22.498864524094543,True
0.1,60.4,1.62,2,1.245357649652396,2.7604103716542108,-22.75033441156278,True
0.1,60.4,2.0,0,1.268502709508136,1.1642540392765652,-21.84195866753648,True
0.1,60.4,2.0,1,1.2636281885100622,1.2505736785396495,-22.00687690646217,True
0.1,60.4,2.0,2,1.2746340103425806,1.7534058238176726,-21.755213005907795,True
0.1,80.2,0.1,0,1.2439883417135826,1.978698995320214,-21.617817355582396,True
0.1,80.2,0.1,1,1.237314410391167,2.43277353408502,-22.45842742234136,True
0.1,80.2,0.1,2,1.2662436728509996,2.384085793074055,-22.307023931196703,True
0.1,80.2,0.48,0,1.2659177625125233,2.6415039772174267,-21.56752046672159,True
0.1,80.2,0.48,1,1.2433100275805071,1.2333702656199486,-22.226583874092658,True
0.1,80.2,0.48,2,1.2589611755212204,2.9659740551989375,-22.246847744452765,True
0.1,80.2,0.86,0,1.2505313790168378,2.096667995539358,-22.974405617419617,True
0.1,80.2,0.86,1,1.2439328959436144,1.1420379704843555,-22.658369863912313,True
0.1,80.2,0.86,2,1.2725191593206118,3.1562808787425225,-21.37384278475879,True
0.1,80.2,1.24,0,1.3047363596544894,2.9696743241799193,-21.15012398337212,True
0.1,80.2,1.24,1,1.296509316771911,1.1310887341873923,-22.487277405069005,True
0.1,80.2,1.24,2,1.236684003516835,2.7463088960796402,-23.45481333842777,True
0.1,80.2,1.62,0,1.2788814418956498,1.9572476736481932,-22.067498470800903,True
0.1,80.2,1.62,1,1.267468468308567,1.7948500599329902,-22.411955322076242,True
0.1,80.2,1.62,2,1.2599549716095197,1.16782435251004,-22.717296535290743,True
0.1,80.2,2.0,0,1.2546720824527962,2.0508442105436337,-22.095029555386375,True
0.1,80.2,2.0,1,1.2641742175498492,2.4553591405154753,-21.35613520476314,True
0.1,80.2,2.0,2,1.261470262506835,1.8260842542036415,-21.34480873900754,True
0.1,100.0,0.1,0,1.2423120638782823,2.814498061330969,-23.747537873114034,True
0.1,100.0,0.1,1,1.2490085621090297,1.9511925986534748,-22.295179133312903,True
0.1,100.0,0.1,2,1.2579053737126829,1.9566321582428998,-22.858791460821852,True
0.1,100.0,0.48,0,1.265677917980199,2.574331838685039,-22.041226901504725,True
0.1,100.0,0.48,1,1.2590489509376719,2.188446263469949,-21.806101976955997,True
0.1,100.0,0.48,2,1.2423189132308579,2.7316032279004845,-22.501883019501864,True
0.1,100.0,0.86,0,1.2434370098879712,1.8348839445209402,-23.363417090795252,True
0.1,100.0,0.86,1,1.2676807694857546,1.1148407912132492,-22.247239748561846,True
0.1,100.0,0.86,2,1.2768540932692947,2.225391945958465,-22.725681906725573,True
0.1,100.0,1.24,0,1.2509437930278373,1.1078520472921394,-21.990148208285945,True
0.1,100.0,1.24,1,1.2835163021721063,1.1444049026839804,-21.39016770060979,True
0.1,100.0,1.24,2,1.263351347283588,1.93152275710991,-21.982009029172055,True
0.1,100.0,1.62,0,1.2614384735202302,2.9060818654586944,-21.66764093067327,True
0.1,100.0,1.62,1,1.2667698372154543,1.6166433553733401,-21.803858868332295,True
0.1,100.0,1.62,2,1.2699991794701941,1.488237120819528,-21.897693072389675,True
0.1,100.0,2.0,0,1.2532036947871987,1.2004178226357407,-23.64233650870458,True
0.1,100.0,2.0,1,1.2873867005939323,2.0196011723829757,-21.471588820397223,True
0.1,100.0,2.0,2,1.264573447884065,1.126994743981072,-22.505387719381403,True
0.28,1.0,0.1,0,1.1975801429771775,2.182508493705852,-27.573674194672016,True
0.28,1.0,0.1,1,1.2141767632065943,1.175257952391741,-25.768306664687508,True
0.28,1.0,0.1,2,1.200012846387792,2.080767758093543,-26.275415158854592,True
0.28,1.0,0.48,0,1.188902027225547,1.7678522496799913,-27.296304937714144,True
0.28,1.0,0.48,1,1.2394361630256878,1.3563659171840678,-22.78442836790759,True
0.28,1.0,0.48,2,1.1087758076995957,1.981969342983022,-31.082341196974042,True
0.28,1.0,0.86,0,1.1488299047734367,1.1435662878764765,-29.914356456349818,True
0.28,1.0,0.86,1,1.1096476116924996,2.0638266807863483,-32.32676238360943,True
0.28,1.0,0.86,2,1.128892988191973,1.3803035780902917,-30.555639826670408,True
0.28,1.0,1.24,0,1.1448402017322572,1.3250858887479666,-32.17448602120496,True
0.28,1.0,1.24,1,1.1335630967683623,1.2814436335744126,-32.51053345698381,True
0.28,1.0,1.24,2,1.1578968831638456,1.195564464643491,-29.979971116132116,True
0.28,1.0,1.62,0,1.2062447095228017,1.2469976240605627,-26.484571281730624,True
0.28,1.0,1.62,1,1.2059616733508556,2.0939605938037347,-25.75273938375276,True
0.28,1.0,1.62,2,1.1996034755055611,2.0675376651481328,-30.34046658082163,True
0.28,1.0,2.0,0,1.154358782224075,1.2819399008669559,-29.57008100581378,True
0.28,1.0,2.0,1,1.1490432348889692,2.400345127625165,-30.27914900694339,True
0.28,1.0,2.0,2,1.1123196646440427,1.1728141747875447,-34.90165702135715,True
0.28,20.8,0.1,0,1.3084560141189636,2.7691481872853143,-18.38671245328719,True
0.28,20.8,0.1,1,1.373290806795077,1.784554153359231,-13.54604967760278,True
0.28,20.8,0.1,2,1.311589875043922,2.710090519183004,-15.479356707749595,True
0.28,20.8,0.48,0,1.3873458900159776,2.1848510315008167,-13.48834464807772,True
0.28,20.8,0.48,1,1.3521585645773109,1.235529259631396,-15.350521406423006,True
0.28,20.8,0.48,2,1.356585069587246,1.2042888803429863,-16.98501437994884,True
0.28,20.8,0.86,0,1.3733749912178503,1.8304576645589634,-13.390462696946383,True
0.28,20.8,0.86,1,1.3723946812551548,1.7506109930957927,-13.676826230663096,True
0.28,20.8,0.86,2,1.376149045515237,3.374079682219224,-13.169446602661285,True
0.28,20.8,1.24,0,1.470742039204676,3.4573329378966533,-13.115554738012584,True
0.28,20.8,1.24,1,1.307867426423789,1.4644113805570533,-17.463413203489207,True
0.28,20.8,1.24,2,1.3490609022141427,2.3812444191240063,-16.088891906435713,True
0.28,20.8,1.62,0,1.3410758701087782,2.1825700199105036,-15.862674258003235,True
0.28,20.8,1.62,1,1.3661555476328469,2.893197401922501,-12.96709705803091,True
0.28,20.8,1.62,2,1.3819843518254282,1.556259590649608,-13.351646630432056,True
0.28,20.8,2.0,0,1.3407162330123144,1.3988427638144945,-15.421936409788684,True
0.28,20.8,2.0,1,1.4253851215467392,1.822836119084829,-13.48614839617615,True
0.28,20.8,2.0,2,1.3659733859449372,2.476977251294287,-13.519504976678533,True
0.28,40.6,0.1,0,1.3820992639050402,3.2576011726573495,-13.085007303817667,True
0.28,40.6,0.1,1,1.3561877383494592,1.360154005716184,-13.945482715202383,True
0.28,40.6,0.1,2,1.3597247019119103,1.1618984208416043,-16.152233987964973,True
0.28,40.6,0.48,0,1.3384792329687856,1.5289003195386222,-15.484730149602397,True
0.28,40.6,0.48,1,1.3764343524291096,3.4232030356770498,-14.785523310668934,True
0.28,40.6,0.48,2,1.3580993396985723,3.3417831918189425,-14.083081278394353,True
0.28,40.6,0.86,0,1.3418724519160492,2.393044784086106,-14.701222766161454,True
0.28,40.6,0.86,1,1.3080012082473575,2.3335338149523976,-17.30810607487695,True
0.28,40.6,0.86,2,1.3603226307880976,2.323396387880249,-15.51452108396914,True
0.28,40.6,1.24,0,1.4204605095578793,3.258728557287351,-14.330244822751522,True
0.28,40.6,1.24,1,1.3379910128765664,1.5358719199360946,-15.792258136994372,True
0.28,40.6,1.24,2,1.5337275105932182,3.977242262059061,-11.483023731136191,True
0.28,40.6,1.62,0,1.3026602322505678,1.7080486560966484,-16.66864635014009,True
0.28,40.6,1.62,1,1.3199208286401798,2.207888139555613,-15.763826331257363,True
0.28,40.6,1.62,2,1.296939937365731,1.2218323015204104,-18.402473194499333,True
0.28,40.6,2.0,0,1.3317627999729231,1.4714927937285294,-16.731905518691864,True
0.28,40.6,2.0,1,1.3989696187446505,2.1401964453667253,-13.989715862543955,True
0.28,40.6,2.0,2,1.3614796413975003,1.4320700803740072,-16.3355448259877,True
0.28,60.4,0.1,0,1.355121956636242,1.3783501105459957,-14.025856537799681,True
0.28,60.4,0.1,1,1.3386808670245756,2.0489587528654143,-16.266196098941524,True
0.28,60.4,0.1,2,1.3291788649391216,1.3865918394462253,-15.703858132831902,True
0.28,60.4,0.48,0,1.393273868432196,2.4357915586163905,-12.800936338276921,True
0.28,60.4,0.48,1,1.3599270294733277,1.9776277831947635,-14.587671366346836,True
0.28,60.4,0.48,2,1.4527218841927576,1.2112276981356156,-11.11222873222332,True
0.28,60.4,0.86,0,1.3454035082667601,1.8889631281950157,-15.238997680127982,True
0.28,60.4,0.86,1,1.4802389739409574,1.618598869768733,-11.566055226831791,True
0.28,60.4,0.86,2,1.324896455057197,2.3570639483916382,-15.579946502284349,True
0.28,60.4,1.24,0,1.3437905637897987,1.5109591378608533,-15.98196161392915,True
0.28,60.4,1.24,1,1.447528011849122,2.6658843456925774,-13.952200871742578,True
0.28,60.4,1.24,2,1.394120537906011,2.2950504213016027,-14.245612374583864,True
0.28,60.4,1.62,0,1.3717586372051986,2.192806948658366,-14.225651315146502,True
0.28,60.4,1.62,1,1.3782106862457775,1.3138140568157497,-12.403235646058569,True
0.28,60.4,1.62,2,1.3420780826257015,1.6173892990646521,-17.809088001711135,True
0.28,60.4,2.0,0,1.386235400363477,3.0258998537884696,-13.975716538497748,True
0.28,60.4,2.0,1,1.3694394805107672,3.036203886972554,-13.353221671636948,True
0.28,60.4,2.0,2,1.39138718471743,2.63394289800598,-12.889505754327082,True
0.28,80.2,0.1,0,1.3516690800120577,2.412015854135877,-14.442232961250806,True
0.28,80.2,0.1,1,1.3457236725313018,3.316774399817047,-13.669790273334204,True
0.28,80.2,0.1,2,1.3548444773455381,2.2880747644395765,-14.35501098418135,True
0.28,80.2,0.48,0,1.4128742222983766,3.4578691197135587,-14.02898141123908,True
0.28,80.2,0.48,1,1.3834460376097304,2.8529534222372406,-15.115719010282213,True
0.28,80.2,0.48,2,1.46098729307316,3.172451126476012,-11.532698114165001,True
0.28,80.2,0.86,0,1.3564235375299307,1.2289953807425522,-16.002325942487456,True
0.28,80.2,0.86,1,1.297255593112933,1.6219058139420621,-18.68611501791764,True
0.28,80.2,0.86,2,1.383384310336391,2.546041520385858,-13.28209741788331,True
0.28,80.2,1.24,0,1.3490492525026552,2.8649550135745363,-13.605702063698086,True
0.28,80.2,1.24,1,1.3396008672011093,1.2125015182895273,-15.517145790658343,True
0.28,80.2,1.24,2,1.3925862826704798,2.776897735299015,-14.030724611752174,True
0.28,80.2,1.62,0,1.3999011867002968,2.9082632672991737,-13.140994388723081,True
0.28,80.2,1.62,1,1.3155799682377534,2.262477648734134,-16.964156595378704,True
0.28,80.2,1.62,2,1.4493425317823008,3.3799147352661776,-13.40246057430994,True
0.28,80.2,2.0,0,1.3737610868983168,2.3151009041662047,-14.992354354040149,True
0.28,80.2,2.0,1,1.3420154590278293,1.1830870704478829,-15.40055883336702,True
0.28,80.2,2.0,2,1.3884711415791438,2.222139956536679,-12.216602373878056,True
0.28,100.0,0.1,0,1.3180529115641955,1.9508542101901818,-16.72396023435262,True
0.28,100.0,0.1,1,1.3336918535618398,1.1702452739905271,-15.894020159036296,True
0.28,100.0,0.1,2,1.2973117212388436,2.1785886037244957,-16.220281177065182,True
0.28,100.0,0.48,0,1.3459231893509647,1.1820798856719035,-14.183214146703397,True
0.28,100.0,0.48,1,1.326088245133048,1.267545840829468,-15.403359682585808,True
0.28,100.0,0.48,2,1.3507104902558322,2.0664219880279977,-14.18747295061993,True
0.28,100.0,0.86,0,1.3877021085897905,2.9186794052826657,-13.23346987849256,True
0.28,100.0,0.86,1,1.3727567861174796,1.5035089957747312,-14.131588626741609,True
0.28,100.0,0.86,2,1.332605858583993,3.407524831186367,-18.05889513799236,True
0.28,100.0,1.24,0,1.3506289994300547,2.9466500129679023,-13.889172973786879,True
0.28,100.0,1.24,1,1.3556823689747461,3.1116933063851944,-14.009323141981959,True
0.28,100.0,1.24,2,1.3594383180614633,2.067262186500224,-14.982917712416056,True
0.28,100.0,1.62,0,1.3356047970868112,2.7185884937868208,-15.90907974875896,True
0.28,100.0,1.62,1,1.3316258150378233,3.5814815003329397,-16.547939404002918,True
0.28,100.0,1.62,2,1.4207037289018436,2.57794702869335,-11.928643145617114,True
0.28,100.0,2.0,0,1.3618515567574474,2.3147132991076846,-15.911902053172474,True
0.28,100.0,2.0,1,1.3628881527168224,2.5715716052237245,-13.67034736916671,True
0.28,100.0,2.0,2,1.3781926109470293,3.3358079920150385,-14.577059985239606,True
0.46,1.0,0.1,0,1.9559127769874782,4.362338943163897,-9.447536519743293,True
0.46,1.0,0.1,1,1.4697087862324665,3.0556966265778964,-12.708059825221737,True
0.46,1.0,0.1,2,5.126851946343789,12.306857793243493,4.75677014929349,True
0.46,1.0,0.48,0,5.800582842731839,15.495293551245135,5.285438136436163,True
0.46,1.0,0.48,1,1.658026643107486,1.4674623591303664,-9.439074278745274,True
0.46,1.0,0.48,2,1.793316952172614,1.5795636560350967,-6.243105994748978,True
0.46,1.0,0.86,0,1.835028475537236,4.613844209598025,-6.856848380359704,True
0.46,1.0,0.86,1,1.6678613428040452,1.7002961548534816,-7.123353035116318,True
0.46,1.0,0.86,2,2.326605938245584,6.019359046174983,-2.4837593244464586,True
0.46,1.0,1.24,0,1.642369658008256,2.7739839769641477,-10.543663427471024,True
0.46,1.0,1.24,1,2.311920087391077,6.118559534816625,-1.1284914493422962,True
0.46,1.0,1.24,2,2.843605784754516,7.280877028990203,0.2097144597532753,True
0.46,1.0,1.62,0,1.8568415562843683,2.234370708504351,-4.6507327605094275,True
0.46,1.0,1.62,1,2.0181394514086417,2.40293683009027,-6.642538559302798,True
0.46,1.0,1.62,2,1.5841603150275756,1.208687029566069,-9.428711878802519,True
0.46,1.0,2.0,0,1.4181152323906434,1.8626350668060772,-13.04957851187337,True
0.46,1.0,2.0,1,1.7663618741725802,3.9001140683356295,-7.806895234412032,True
0.46,1.0,2.0,2,1.76536874156446,2.5482394240019586,-5.448313683455588,True
0.46,20.8,0.1,0,1.643970145637231,1.887534245806979,-6.3906926277228715,True
0.46,20.8,0.1,1,1.931547677719828,5.703796486740825,-3.497737670092162,True
0.46,20.8,0.1,2,1.538866000875351,2.1691904210506485,-7.376069353874744,True
0.46,20.8,0.48,0,1.7687822373828315,3.5616436743905053,-4.0077419201364854,True
0.46,20.8,0.48,1,1.7444457002511173,4.220687218946431,-5.314769917417595,True
0.46,20.8,0.48,2,1.5001525526707362,1.4146120269224645,-7.12477530841041,True
0.46,20.8,0.86,0,1.6656010343057432,2.7904863234620776,-6.4628315518397175,True
0.46,20.8,0.86,1,1.6582395618309942,2.2790931155078256,-5.4732081464198234,True
0.46,20.8,0.86,2,2.7248434217889765,7.596714836261543,-0.2618309269587358,True
0.46,20.8,1.24,0,1.753874328685719,4.877912903133649,-4.991818590116857,True
0.46,20.8,1.24,1,1.7455920047658426,2.5023777000192524,-3.7105199066952887,True
0.46,20.8,1.24,2,1.7465671295844094,2.4326599410882492,-6.38521571247897,True
0.46,20.8,1.62,0,2.2408952514497966,4.913950067380823,-3.836246402264428,True
0.46,20.8,1.62,1,1.7491636920694962,2.400579753865302,-9.302383538113514,True
0.46,20.8,1.62,2,1.537253054448427,1.3578398508934222,-6.752963277196795,True
0.46,20.8,2.0,0,1.7004123402135198,4.965261827991803,-7.272252786646341,True
0.46,20.8,2.0,1,1.5477402655550625,2.0893550230205498,-7.8948890067199455,True
0.46,20.8,2.0,2,1.4716823997168738,2.138447557294581,-8.548880698724382,True
0.46,40.6,0.1,0,1.6539385003810463,2.481759699145551,-5.777315904345468,True
0.46,40.6,0.1,1,1.4587783727707926,1.555392009790906,-7.6438415108990645,True
0.46,40.6,0.1,2,1.5198983663958585,2.2949454108082743,-6.95078438098385,True
0.46,40.6,0.48,0,1.4943513684157488,4.062473381042355,-6.401691170628949,True
0.46,40.6,0.48,1,2.120216850139836,5.744924869861424,-4.663531685362048,True
0.46,40.6,0.48,2,1.607574841530259,3.1596366563070304,-8.037177972242269,True
0.46,40.6,0.86,0,1.9451633723569457,4.606685424837411,-5.319453949425269,True
0.46,40.6,0.86,1,1.490881101945555,1.9927966161593818,-8.397570964440721,True
0.46,40.6,0.86,2,1.7668594975059753,2.155891708719561,-5.402523250448699,True
0.46,40.6,1.24,0,1.6365177218444615,2.573077284459718,-8.346814935006755,True
0.46,40.6,1.24,1,1.5427992387189429,2.1624946910035536,-7.38432949738932,True
0.46,40.6,1.24,2,1.575374043026161,1.6422943303397832,-8.847859784846229,True
0.46,40.6,1.62,0,1.7962979853456307,3.9706515614159748,-6.886517351805042,True
0.46,40.6,1.62,1,1.4114504642612702,2.8650628741511692,-10.813405683364904,True
0.46,40.6,1.62,2,1.5516987583140947,3.352053339368037,-8.687592783976585,True
0.46,40.6,2.0,0,1.6808829736496977,2.0670833145450955,-6.836862079209371,True
0.46,40.6,2.0,1,1.6276269669758663,2.451983248291817,-6.946970627794028,True
0.46,40.6,2.0,2,1.5362684547632355,1.6742622990084917,-5.3411028787498696,True
0.46,60.4,0.1,0,1.60033529802073,3.9103341145018344,-6.179237027197747,True
0.46,60.4,0.1,1,1.6609968948423743,1.911102838467992,-4.799536846454143,True
0.46,60.4,0.1,2,1.4575818329303383,2.0066268482858844,-9.15175867312631,True
0.46,60.4,0.48,0,1.5501262771994897,2.6134724415474477,-6.544916641220836,True
0.46,60.4,0.48,1,1.4960272004997943,3.0950512557054,-7.938328796213005,True
0.46,60.4,0.48,2,2.387009121445172,7.002781055243471,-1.3924766744903343,True
0.46,60.4,0.86,0,1.5377419169127202,2.136533279711061,-6.204836754777382,True
0.46,60.4,0.86,1,1.5009819214293452,2.6141889332149217,-8.5187592259652,True
0.46,60.4,0.86,2,1.5710270145149028,3.115378116816048,-8.629815865948796,True
0.46,60.4,1.24,0,1.8442471985416986,2.843628269917582,-4.919621980287769,True
0.46,60.4,1.24,1,1.6061431964485533,3.08309282860215,-6.467315878632044,True
0.46,60.4,1.24,2,1.886286463577641,4.711001075870467,-6.900046754164485,True
0.46,60.4,1.62,0,1.5618934505584972,3.1336490149858776,-6.482726216225001,True
0.46,60.4,1.62,1,1.4380329685974045,3.0087784023963233,-10.5495467363897,True
0.46,60.4,1.62,2,1.6869986385112385,3.773450090334163,-5.917576457790148,True
0.46,60.4,2.0,0,1.6168761429540057,3.337127892936457,-4.5701531323321385,True
0.46,60.4,2.0,1,1.9071204741542067,4.837892821109354,-4.091812207914889,True
0.46,60.4,2.0,2,1.515655096000445,4.134914460186589,-8.072064643542921,True
0.46,80.2,0.1,0,1.5014963311109508,2.326534236488592,-7.4062108274515905,True
0.46,80.2,0.1,1,1.4981343426039502,1.7458480981939297,-8.21476102836911,True
0.46,80.2,0.1,2,1.50678238055687,2.821536951798356,-7.338163069209584,True
0.46,80.2,0.48,0,1.7033582106480376,1.8121646413637646,-7.148939040775996,True
0.46,80.2,0.48,1,1.6284206291783192,4.363754309984441,-6.445468094416169,True
0.46,80.2,0.48,2,1.5340750770035063,1.5884737260760773,-7.738653693787496,True
0.46,80.2,0.86,0,1.5823592653282648,2.487156348027639,-7.96235891402937,True
0.46,80.2,0.86,1,1.4197813247415414,2.460261446009935,-8.455983313136826,True
0.46,80.2,0.86,2,2.0788663394324964,4.596510410324608,-1.692700670710708,True
0.46,80.2,1.24,0,1.4810897650131825,1.6208213132375413,-7.795503130381401,True
0.46,80.2,1.24,1,1.6770976777067133,4.590874489164546,-4.739676283860118,True
0.46,80.2,1.24,2,1.5896241568014375,2.0489982957207262,-6.423555261366787,True
0.46,80.2,1.62,0,1.5242219404569448,2.6226433429482934,-8.789382115490776,True
