temp,n,batch,a,Rg,Re,PE,valid
0.1,5,0,25,0.9027853218784803,1.1250255133003084,-1.2685748351780535,True
0.1,5,1,25,0.9102416689638018,1.1247924968280811,-1.2601065271502208,True
0.1,5,2,25,0.8890432035639368,1.1322935913855579,-1.2649078801895404,True
0.1,10,0,50,0.8362736223662743,1.1566452504670146,-10.248149126683586,True
0.1,10,1,50,0.8522912460300875,1.1285750074755523,-10.25769012258771,True
0.1,10,2,50,0.8864309632777969,1.1575483296894984,-10.362361967943798,True
0.1,20,0,100,1.0647316675264336,1.1808373547563151,-39.515039065619575,True
0.1,20,1,100,1.049943775199485,1.1833664784244626,-38.206240929819,True
0.1,20,2,100,1.0666009480636598,2.769533002321729,-36.24926718352594,True
0.28,5,0,25,2.1829105134337934,5.8594527569148855,0.9229339245561404,True
0.28,5,1,25,2.176087584737381,5.803680630055953,0.9946076260194073,True
0.28,5,2,25,2.1427731710508975,5.831079020840507,0.8299725562043558,True
0.28,10,0,50,1.881124119754646,4.977862961687091,-2.8250988708749416,True
0.28,10,1,50,0.9433475605644354,1.2992193539866312,-7.765618820334213,True
0.28,10,2,50,0.9853989023494818,1.1766317903912415,-7.726502160707202,True
0.28,20,0,100,1.1448402017322572,1.3250858887479666,-32.17448602120496,True
0.28,20,1,100,1.1335630967683623,1.2814436335744126,-32.51053345698381,True
0.28,20,2,100,1.1578968831638456,1.195564464643491,-29.979971116132116,True
0.46,5,0,25,2.4895291041079703,6.606306988422425,1.8112934619438914,True
0.46,5,1,25,2.4357379599483946,6.64618988796011,1.895521740449523,True
0.46,5,2,25,2.315891620278328,6.184387141757718,1.5942903506123705,True
0.46,10,0,50,2.984039311799271,6.656309566353184,4.669557069946075,True
0.46,10,1,50,2.17466470132959,4.6456643622044185,1.7622895066108106,True
0.46,10,2,50,3.1651284622446743,9.029655948200798,3.2199826349900964,True
0.46,20,0,100,1.642369658008256,2.7739839769641477,-10.543663427471024,True
0.46,20,1,100,2.311920087391077,6.118559534816625,-1.1284914493422962,True
0.46,20,2,100,2.843605784754516,7.280877028990203,0.2097144597532753,True
0.64,5,0,25,2.7654410310983555,7.456903542920132,2.6612358039975375,True
0.64,5,1,25,2.8641506163264467,7.728194683612532,2.570530430623758,True
0.64,5,2,25,2.829975317159663,7.5938736556422946,2.710209725374717,True
0.64,10,0,50,2.8064387298714557,6.974509119608345,5.018791741121268,True
0.64,10,1,50,2.4771733451087488,4.666139983889504,4.69046981639494,True
0.64,10,2,50,2.7755157828084047,7.741778411956964,5.593577114166119,True
0.64,20,0,100,2.7814081969556423,5.736253736824731,7.066290067850953,True
0.64,20,1,100,2.1362031255674414,6.0468485354988335,2.744712068442555,True
0.64,20,2,100,4.291396884065158,8.807504418094588,10.868598560591861,True
0.82,5,0,25,2.767820119178786,6.862324838894846,3.6705061559926286,True
0.82,5,1,25,2.948582450901512,7.902471175372784,3.611668321971566,True
0.82,5,2,25,2.7799552662719282,7.269010413567977,3.832419163660524,True
0.82,10,0,50,3.790140006445402,8.798669992226454,7.328009429766089,True
0.82,10,1,50,3.5318793581569077,7.839664689890218,6.903256529512427,True
0.82,10,2,50,3.5028271581917654,7.718557155877978,7.473341787985841,True
0.82,20,0,100,4.785674796794673,13.585774828693678,12.493185403781808,True
0.82,20,1,100,3.7268114617275723,8.258371223136397,15.096809566911435,True
0.82,20,2,100,2.992721321898584,7.180948594529038,12.61803018562817,True
1.0,5,0,25,2.986809099084513,7.808870514710791,5.145008994900592,True
1.0,5,1,25,3.2075835493187976,8.691862108380603,4.67931156123135,True
1.0,5,2,25,3.2702536243658438,8.851831613826047,4.83681171188784,True
1.0,10,0,50,3.528038349399484,9.652552183975873,11.300551169560286,True
1.0,10,1,50,2.60304305371377,4.359556194386634,7.745389408862586,True
1.0,10,2,50,4.0422646382199074,11.100039270377785,9.98060744973783,True
1.0,20,0,100,3.350596647712629,5.524357969055067,18.077943637506607,True
1.0,20,1,100,4.508117477878842,11.074893789155082,20.342508309413205,True
1.0,20,2,100,5.536886954567466,12.838762830693629,20.354784116614717,True
0.1,40,0,200,42.29884283908993,116.61326475919473,122.63139452628263,True
0.1,80,0,400,188.82742262923236,19.102075767844465,1886.204060494405,False
0.28,40,0,200,1.3997272307628075,1.237427393323077,-94.59972406970995,True
0.28,80,0,400,48.73335752558007,154.64513379636855,82.45182250368896,True
0.46,40,0,200,1.6908200156619,3.002322528436198,-52.29667919635414,True
0.46,80,0,400,96.28685260204958,30.519960658798873,1423.6422616287186,False
0.64,40,0,200,2.6741604128862435,5.296057301879067,-1.5513059159728038,True
0.64,80,0,400,2.369295636705467,4.068332612470811,-86.38771670282993,True
0.82,40,0,200,3.804104955220497,6.822915867007392,21.384917310849932,True
0.82,80,0,400,4.192754315730627,15.022391161421378,9.551138810422328,True
1.0,40,0,200,3.834645162743372,7.276932925649649,32.308673958375486,True
1.0,80,0,400,138.5695527950278,367.6356655786974,1048.9464116949828,False
